feature_registry_row_id,feature_id,feature_name,feature_description,feature_state,feature_phase,feature_owner,feature_package,feature_crate,feature_test_class,mapped_claim_id,mapped_claim_state,mapped_claim_lifecycle,mapped_claim_tier_target,mapped_claim_status,evidence_bundle_ids,evidence_artifact_ids,evidence_pointers,test_case_ids,test_pointers
FREG-0011,NEXT-FEAT-011,Canonical op update,Tracks the canonical `update` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_oltp,,canonical-op-update,NEXT-013,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0005,EART-0073;EART-0031,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0012,NEXT-FEAT-012,Canonical op replace,Tracks the canonical `replace` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_oltp,,canonical-op-replace,NEXT-014,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0005,EART-0073;EART-0030,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0013,NEXT-FEAT-013,Canonical op merge,Tracks the canonical `merge` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_oltp,,canonical-op-merge,NEXT-015,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0005,EART-0073;EART-0028,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0014,NEXT-FEAT-014,Canonical op delete,Tracks the canonical `delete` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_oltp,,canonical-op-delete,NEXT-016,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0005,EART-0073;EART-0025,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0015,NEXT-FEAT-015,Canonical op list,Tracks the canonical `list` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_oltp,,canonical-op-list,NEXT-017,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0005,EART-0073;EART-0027,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0016,NEXT-FEAT-016,Canonical op clear,Tracks the canonical `clear` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_oltp,,canonical-op-clear,NEXT-018,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0005,EART-0073;EART-0022,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0017,NEXT-FEAT-017,Canonical op count,Tracks the canonical `count` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_oltp,,canonical-op-count,NEXT-019,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0005,EART-0073;EART-0023,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0018,NEXT-FEAT-018,Canonical op exists,Tracks the canonical `exists` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_oltp,,canonical-op-exists,NEXT-020,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0005,EART-0073;EART-0026,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0019,NEXT-FEAT-019,Canonical op bulk_create,Tracks the canonical `bulk_create` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_oltp,,canonical-op-bulk-create,NEXT-021,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0005,EART-0073;EART-0017,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0020,NEXT-FEAT-020,Canonical op bulk_update,Tracks the canonical `bulk_update` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_oltp,,canonical-op-bulk-update,NEXT-022,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0005,EART-0073;EART-0021,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0021,NEXT-FEAT-021,Canonical op bulk_replace,Tracks the canonical `bulk_replace` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_oltp,,canonical-op-bulk-replace,NEXT-023,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0005,EART-0073;EART-0020,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0022,NEXT-FEAT-022,Canonical op bulk_merge,Tracks the canonical `bulk_merge` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_oltp,,canonical-op-bulk-merge,NEXT-024,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0005,EART-0073;EART-0019,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0023,NEXT-FEAT-023,Canonical op bulk_delete,Tracks the canonical `bulk_delete` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_oltp,,canonical-op-bulk-delete,NEXT-025,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0005,EART-0073;EART-0018,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0024,NEXT-FEAT-024,Canonical op aggregate,Tracks the canonical `aggregate` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_olap,,canonical-op-aggregate,NEXT-026,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0004,EART-0073;EART-0015,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0025,NEXT-FEAT-025,Canonical op group_by,Tracks the canonical `group_by` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_olap,,canonical-op-group-by,NEXT-027,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0004,EART-0073;EART-0016,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0026,NEXT-FEAT-026,Canonical op publish,Tracks the canonical `publish` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_realtime,,canonical-op-publish,NEXT-028,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0006,EART-0073;EART-0035,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0027,NEXT-FEAT-027,Canonical op subscribe,Tracks the canonical `subscribe` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_realtime,,canonical-op-subscribe,NEXT-029,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0006,EART-0073;EART-0037,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0028,NEXT-FEAT-028,Canonical op tail,Tracks the canonical `tail` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_realtime,,canonical-op-tail,NEXT-030,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0006,EART-0073;EART-0038,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0029,NEXT-FEAT-029,Canonical op upload,Tracks the canonical `upload` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_realtime,,canonical-op-upload,NEXT-031,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0006,EART-0073;EART-0039,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0030,NEXT-FEAT-030,Canonical op download,Tracks the canonical `download` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_realtime,,canonical-op-download,NEXT-032,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0006,EART-0073;EART-0034,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0031,NEXT-FEAT-031,Canonical op append_chunk,Tracks the canonical `append_chunk` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_realtime,,canonical-op-append-chunk,NEXT-033,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0006,EART-0073;EART-0032,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0032,NEXT-FEAT-032,Canonical op send_datagram,Tracks the canonical `send_datagram` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_realtime,,canonical-op-send-datagram,NEXT-034,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0006,EART-0073;EART-0036,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0033,NEXT-FEAT-033,Canonical op checkpoint,Tracks the canonical `checkpoint` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_realtime,,canonical-op-checkpoint,NEXT-035,target,implemented,tier_2_checkpoint_target,implemented,EBND-0014;EBND-0006,EART-0073;EART-0033,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0034,NEXT-FEAT-034,Canonical op custom,Tracks the canonical `custom` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_core,,canonical-op-custom,NEXT-036,target,mapped,tier_2_checkpoint_target,mapped,EBND-0018;EBND-0018,EART-0087;EART-0089,pkgs/core/tigrbl_core/tigrbl_core/_spec/op_spec.py;pkgs/core/tigrbl_core/tigrbl_core/config/constants.py,,
FREG-0035,NEXT-FEAT-035,Supported server tigrcorn,,target,T2,CLI / Developer Experience,pkgs/core/tigrbl,,server-runner-tigrcorn,NEXT-037,target,implemented,tier_2_checkpoint_target,implemented,EBND-0023;EBND-0025,EART-0095;EART-0108,pkgs/core/tigrbl_tests/tests/unit/test_cli_srv.py;tools/conformance/installed_package_smoke.py,TCASE-0014,pkgs/core/tigrbl_tests/tests/unit/test_cli_srv.py
FREG-0036,NEXT-FEAT-036,Supported server uvicorn,,target,T2,CLI / Developer Experience,pkgs/core/tigrbl,,server-runner-uvicorn,NEXT-038,target,implemented,tier_2_checkpoint_target,implemented,EBND-0023;EBND-0025,EART-0095;EART-0108,pkgs/core/tigrbl_tests/tests/unit/test_cli_srv.py;tools/conformance/installed_package_smoke.py,TCASE-0014,pkgs/core/tigrbl_tests/tests/unit/test_cli_srv.py
FREG-0037,NEXT-FEAT-037,Supported server hypercorn,,target,T2,CLI / Developer Experience,pkgs/core/tigrbl,,server-runner-hypercorn,NEXT-039,target,implemented,tier_2_checkpoint_target,implemented,EBND-0023;EBND-0025,EART-0095;EART-0108,pkgs/core/tigrbl_tests/tests/unit/test_cli_srv.py;tools/conformance/installed_package_smoke.py,TCASE-0014,pkgs/core/tigrbl_tests/tests/unit/test_cli_srv.py
FREG-0038,NEXT-FEAT-038,Supported server gunicorn,,target,T2,CLI / Developer Experience,pkgs/core/tigrbl,,server-runner-gunicorn,NEXT-040,target,implemented,tier_2_checkpoint_target,implemented,EBND-0023;EBND-0025,EART-0095;EART-0108,pkgs/core/tigrbl_tests/tests/unit/test_cli_srv.py;tools/conformance/installed_package_smoke.py,TCASE-0014,pkgs/core/tigrbl_tests/tests/unit/test_cli_srv.py
FREG-0039,NEXT-FEAT-039,Out-of-boundary server daphne,,target,T2,Server/runtime boundary,pkgs/core/tigrbl,,server-oob-daphne,NEXT-041,target,mapped,tier_2_checkpoint_target,mapped,EBND-0023;EBND-0009;EBND-0009,EART-0095;EART-0052;EART-0051,pkgs/core/tigrbl_tests/tests/unit/test_cli_srv.py;docs/conformance/NEXT_TARGETS.md;docs/conformance/IMPLEMENTATION_MAP.md,TCASE-0014,pkgs/core/tigrbl_tests/tests/unit/test_cli_srv.py
FREG-0040,NEXT-FEAT-040,Out-of-boundary server twisted,,target,T2,Server/runtime boundary,pkgs/core/tigrbl,,server-oob-twisted,NEXT-042,target,mapped,tier_2_checkpoint_target,mapped,EBND-0023;EBND-0009;EBND-0009,EART-0095;EART-0052;EART-0051,pkgs/core/tigrbl_tests/tests/unit/test_cli_srv.py;docs/conformance/NEXT_TARGETS.md;docs/conformance/IMPLEMENTATION_MAP.md,TCASE-0014,pkgs/core/tigrbl_tests/tests/unit/test_cli_srv.py
FREG-0041,NEXT-FEAT-041,Out-of-boundary server granian,,target,T2,Server/runtime boundary,pkgs/core/tigrbl,,server-oob-granian,NEXT-043,target,mapped,tier_2_checkpoint_target,mapped,EBND-0023;EBND-0009;EBND-0009,EART-0095;EART-0052;EART-0051,pkgs/core/tigrbl_tests/tests/unit/test_cli_srv.py;docs/conformance/NEXT_TARGETS.md;docs/conformance/IMPLEMENTATION_MAP.md,TCASE-0014,pkgs/core/tigrbl_tests/tests/unit/test_cli_srv.py
