"id","title","implementation_status","planning_horizon"
"feat:python-engine-session-lifecycle-001","Python engine session lifecycle separation","absent",
"feat:python-request-envelope-contract-001","Python request envelope contract","absent",
"feat:python-request-hot-path-no-ddl-001","Python request hot path excludes DDL","absent",
"feat:python-runtime-2x-target-comparison-001","Python baseline for Rust 2x comparison","absent",
"feat:python-runtime-callgraph-export-001","Python executor callgraph export","absent",
"feat:python-runtime-ddl-initialization-boundary-001","Python runtime DDL initialization boundary","absent",
"feat:python-runtime-performance-baseline-001","Python executor benchmark baseline","absent",
"feat:python-schema-readiness-fail-closed-001","Python schema readiness fail-closed behavior","absent",
"feat:python-transaction-hot-path-001","Python transaction hot path evidence","absent",
"feat:runtime-owned-hook-legality-enforcement-001","Runtime-owned hook legality enforcement","absent",
"feat:rust-asgi-boundary-evidence-001","Rust executor under Python ASGI boundary evidence","absent",
"feat:rust-direct-runtime-microbench-001","Rust direct runtime microbenchmark lane","absent",
"feat:rust-engine-session-lifecycle-001","Rust engine session lifecycle separation","absent",
"feat:rust-protocol-plan-parity-001","Rust protocol plan parity","absent",
"feat:rust-request-envelope-contract-001","Rust request envelope contract","absent",
"feat:rust-request-hot-path-no-ddl-001","Rust request hot path excludes DDL","absent",
"feat:rust-runtime-2x-python-target-001","Rust executor 2x Python throughput target","absent",
"feat:rust-runtime-callgraph-export-001","Rust executor callgraph export","absent",
"feat:rust-runtime-ddl-initialization-boundary-001","Rust runtime DDL initialization boundary","absent",
"feat:rust-runtime-performance-baseline-001","Rust executor benchmark baseline","absent",
"feat:rust-schema-readiness-fail-closed-001","Rust schema readiness fail-closed behavior","absent",
"feat:rust-transaction-hot-path-001","Rust transaction hot path optimization","absent",
"feat:schema-migration-runtime-surface-001","Schema migration runtime surface","absent",
"feat:segment-fusion-barrier-policy-001","Segment fusion barrier policy","absent",
"feat:sse-lazy-iterator-runtime-001","SSE lazy iterator runtime","absent",
"feat:sse-session-message-stream-chains-001","SSE session message stream chains","absent",
"feat:static-file-runtime-chain-001","Static file runtime chain","absent",
"feat:subevent-handler-dispatch-001","Subevent handler dispatch","absent",
"feat:subevent-transaction-units-001","Subevent transaction units","absent",
"feat:transport-accept-emit-close-atoms-001","Transport accept emit close atoms","absent",
"feat:transport-event-registry-001","Transport event registry","absent",
"feat:transportresponse-concrete-response-class-001","TransportResponse concrete response class","absent",
"feat:tree-loop-aware-executors-001","Tree and loop aware executors","absent",
"feat:two-axis-lifecycle-matrix-001","Two-axis lifecycle matrix","absent",
"feat:tx-phase-legacy-alias-deprecation-001","Deprecate legacy transaction phase aliases","absent",
"feat:tx-phase-legacy-alias-removal-001","Remove legacy transaction phase aliases","absent",
"feat:uniform-diagnostics-uix-surface-001","Uniform diagnostics UIX surface","absent",
"feat:websocket-wss-atom-chains-001","WebSocket and WSS atom chains","absent",
"feat:webtransport-transport-events-001","WebTransport transport events","absent",
"feat:yield-iterator-producer-001","Yield iterator producer","absent",
"feat:aliasbase-contract-001","AliasBase contract","partial",
"feat:aliasspec-contract-001","AliasSpec contract","partial",
"feat:analytical-family-membership-freeze-001","Analytical family membership freeze","partial",
"feat:analytical-runtime-docs-export-parity-001","Analytical runtime/docs/export parity","partial",
"feat:anon-access-projection-001","Anonymous access projection","partial",
"feat:apikey-security-dependency-001","APIKey security dependency","partial",
"feat:appbase-contract-001","AppBase contract","partial",
"feat:appbase-public-projection-001","AppBase public projection","partial",
"feat:appspec-harness-uvicorn-e2e-parity-001","AppSpec and harness Uvicorn E2E parity","partial",
"feat:appspec-imperative-plan-parity-001","AppSpec and imperative plan parity","partial",
"feat:asyncapi-mount-surface-001","AsyncAPI mount surface","partial",
"feat:asyncapi-payload-surface-001","AsyncAPI payload surface","partial",
"feat:attrdict-contract-001","AttrDict contract","partial",
"feat:backgroundtask-concrete-class-001","BackgroundTask concrete class","partial",
"feat:bind-helper-surface-001","bind helper surface","partial",
"feat:bindingbase-contract-001","BindingBase contract","partial",
"feat:binding-driven-ingress-001","Binding-driven REST and JSON-RPC ingress materialization","partial",
"feat:bindingregistrybase-contract-001","BindingRegistryBase contract","partial",
"feat:bindingregistryspec-contract-001","BindingRegistrySpec contract","partial",
"feat:bindingspec-contract-001","BindingSpec contract","partial",
"feat:bootstrap-dbschema-runtime-surface-001","bootstrap_dbschema runtime surface","partial",
"feat:bootstrappable-table-mixin-001","Bootstrappable table mixin","partial",
"feat:build-asyncapi-spec-helper-surface-001","build_asyncapi_spec helper surface","partial",
"feat:build-handlers-helper-surface-001","build_handlers helper surface","partial",
"feat:build-healthz-endpoint-helper-001","build_healthz_endpoint helper surface","partial",
"feat:build-hooks-helper-surface-001","build_hooks helper surface","partial",
"feat:build-hookz-endpoint-helper-001","build_hookz_endpoint helper surface","partial",
"feat:build-json-schema-bundle-helper-surface-001","build_json_schema_bundle helper surface","partial",
"feat:build-kernelz-endpoint-helper-001","build_kernelz_endpoint helper surface","partial",
"feat:build-lens-helper-surface-001","build_lens helper surface","partial",
"feat:build-methodz-endpoint-helper-001","build_methodz_endpoint helper surface","partial",
"feat:build-openapi-helper-surface-001","build_openapi helper surface","partial",
"feat:build-openrpc-spec-helper-surface-001","build_openrpc_spec helper surface","partial",
"feat:build-rest-helper-surface-001","build_rest helper surface","partial",
"feat:build-schemas-helper-surface-001","build_schemas helper surface","partial",
"feat:build-swagger-helper-surface-001","build_swagger helper surface","partial",
"feat:canonical-analytical-ops-001","Canonical analytical verb family","partial",
"feat:canonical-op-aggregate-001","Canonical op aggregate","partial",
"feat:canonical-op-append-chunk-001","Canonical op append_chunk","partial",
"feat:canonical-op-bulk-create-001","Canonical op bulk_create","partial",
"feat:canonical-op-bulk-delete-001","Canonical op bulk_delete","partial",
"feat:canonical-op-bulk-merge-001","Canonical op bulk_merge","partial",
"feat:canonical-op-bulk-replace-001","Canonical op bulk_replace","partial",
"feat:canonical-op-bulk-update-001","Canonical op bulk_update","partial",
"feat:canonical-op-checkpoint-001","Canonical op checkpoint","partial",
"feat:canonical-op-clear-001","Canonical op clear","partial",
"feat:canonical-op-count-001","Canonical op count","partial",
"feat:canonical-op-create-001","Canonical op create","partial",
"feat:canonical-op-custom-001","Canonical op custom","partial",
"feat:canonical-op-delete-001","Canonical op delete","partial",
"feat:canonical-op-download-001","Canonical op download","partial",
"feat:canonical-op-exists-001","Canonical op exists","partial",
"feat:canonical-op-group-by-001","Canonical op group_by","partial",
"feat:canonical-op-list-001","Canonical op list","partial",
"feat:canonical-op-merge-001","Canonical op merge","partial",
"feat:canonical-op-publish-001","Canonical op publish","partial",
"feat:canonical-op-read-001","Canonical op read","partial",
"feat:canonical-op-replace-001","Canonical op replace","partial",
"feat:canonical-op-send-datagram-001","Canonical op send_datagram","partial",
"feat:canonical-op-subscribe-001","Canonical op subscribe","partial",
"feat:canonical-op-tail-001","Canonical op tail","partial",
"feat:canonical-op-update-001","Canonical op update","partial",
"feat:canonical-op-upload-001","Canonical op upload","partial",
"feat:canonical-realtime-transfer-ops-001","Canonical realtime and transfer verb family","partial",
"feat:cli-module-target-resolution-001","CLI module target resolution","partial",
"feat:cli-path-target-resolution-001","CLI path target resolution","partial",
"feat:cli-shared-target-loader-001","CLI shared target loader","partial",
"feat:cli-target-error-classification-001","CLI target error classification","partial",
"feat:cli-target-resolution-001","CLI target resolution and app loading","partial",
"feat:cli-target-surface-loading-001","CLI target surface loading","partial",
"feat:columnbase-contract-001","ColumnBase contract","partial",
"feat:datatypespec-contract-001","DataTypeSpec contract","partial",
"feat:ddl-initialization-modes-001","DDL initialization modes","partial",
"feat:ddl-runtime-surface-001","DDL runtime surface","partial",
"feat:default-canonical-engine-catalog-001","Default canonical engine catalog","partial",
"feat:default-kernel-identity-001","Default kernel identity","partial",
"feat:defaultsession-concrete-session-class-001","DefaultSession concrete session class","partial",
"feat:depends-concrete-dependency-helper-001","Depends concrete dependency helper","partial",
"feat:deprecated-export-compat-window-001","Deprecated export compatibility window","partial",
"feat:diagnostics-absence-warning-suppression-001","Diagnostics absence-warning suppression","partial",
"feat:diagnostics-contract-001","Diagnostics endpoint contracts","partial",
"feat:diagnostics-router-mount-surface-001","Diagnostics router mount surface","partial",
"feat:diagnostics-system-prefix-mount-001","Diagnostics system-prefix mount","partial",
"feat:diagnostics-warning-vocabulary-001","Diagnostics warning vocabulary","partial",
"feat:docs-mount-runtime-surface-parity-001","Documentation mount runtime surface parity","partial",
"feat:enginebase-contract-001","EngineBase contract","partial",
"feat:enginedatatypebridge-contract-001","EngineDatatypeBridge contract","partial",
"feat:engine-extension-surface-001","Engine extension surface","partial",
"feat:engineproviderbase-contract-001","EngineProviderBase contract","partial",
"feat:engineproviderspec-contract-001","EngineProviderSpec contract","partial",
"feat:engineregistry-contract-001","EngineRegistry contract","partial",
"feat:engine-resolver-multi-table-rpc-001","Engine resolver and multi-table RPC parity under Uvicorn","partial",
"feat:engine-resolver-precedence-001","Engine resolver precedence","partial",
"feat:engine-session-runtime-surface-001","Engine session runtime surface","partial",
"feat:enginespec-contract-001","EngineSpec contract","partial",
"feat:engine-surface-contract-001","Engine surface contract and datatype bridge","partial",
"feat:engine-surface-plugin-resolution-001","Engine plugin registration and resolution","partial",
"feat:engine-surface-public-projection-001","Engine public and base projection","partial",
"feat:enginetypelowerer-protocol-001","EngineTypeLowerer protocol","partial",
"feat:ensure-primed-idempotence-001","ensure_primed idempotence","partial",
"feat:ensure-schemas-runtime-surface-001","ensure_schemas runtime surface","partial",
"feat:error-envelope-structure-parity-001","Error envelope structure parity","partial",
"feat:error-parity-response-structure-001","Error parity, validation parity, and response structure","partial",
"feat:eventstreamresponse-concrete-sse-class-001","EventStreamResponse concrete SSE class","partial",
"feat:executor-dispatch-removal-001","Executors do not perform transport matching","partial",
"feat:fileresponse-concrete-response-class-001","FileResponse concrete response class","partial",
"feat:foreignkeybase-contract-001","ForeignKeyBase contract","partial",
"feat:foreignkeybase-public-projection-001","ForeignKeyBase public projection","partial",
"feat:gate-009","Obsolete alias for Gate C conformance and security checkpoint conditions","partial",
"feat:gate-c-conformance-security-checkpoint-001","Gate C conformance and security checkpoint conditions","partial",
"feat:get-schema-python-helper-surface-001","get_schema Python helper surface","partial",
"feat:governed-module-alias-compatibility-001","Governed module alias compatibility","partial",
"feat:harness-runtime-routing-parity-001","Harness and runtime routing parity","partial",
"feat:healthz-mount-surface-001","Healthz mount surface","partial",
"feat:healthz-stable-payload-001","Healthz stable payload","partial",
"feat:hookbase-contract-001","HookBase contract","partial",
"feat:hookbase-public-projection-001","HookBase public projection","partial",
"feat:hook-extension-surface-001","Hook extension surface","partial",
"feat:hookphase-vocabulary-001","HookPhase vocabulary","partial",
"feat:hookspec-contract-001","HookSpec contract","partial",
"feat:hook-surface-attachment-ordering-001","Hook attachment and ordering behavior","partial",
"feat:hook-surface-phase-selector-001","Hook phase and selector contract","partial",
"feat:hook-surface-public-projection-001","Hook public and base projection","partial",
"feat:hookz-mount-surface-001","Hookz mount surface","partial",
"feat:hookz-payload-surface-001","Hookz payload surface","partial",
"feat:htmlresponse-concrete-response-class-001","HTMLResponse concrete response class","partial",
"feat:httpbasic-security-dependency-001","HTTPBasic security dependency","partial",
"feat:http-jsonrpc-bindingspec-contract-001","HttpJsonRpcBindingSpec contract","partial",
"feat:http-rest-bindingspec-contract-001","HttpRestBindingSpec contract","partial",
"feat:http-stream-bindingspec-contract-001","HttpStreamBindingSpec contract","partial",
"feat:include-tables-helper-surface-001","include_tables helper surface","partial",
"feat:integration-test-registry-coverage-001","Integration test registry coverage","partial",
"feat:jsonresponse-concrete-response-class-001","JSONResponse concrete response class","partial",
"feat:jsonrpc-20-runtime-surface-001","JSON-RPC 2.0 runtime surface","partial",
"feat:jsonrpc-batch-framing-001","JSON-RPC batch framing","partial",
"feat:jsonrpc-endpoint-key-001","Endpoint-keyed JSON-RPC multiplexing","partial",
"feat:jsonrpc-notification-204-projection-001","JSON-RPC notification 204 projection","partial",
"feat:json-schema-mount-surface-001","JSON Schema mount surface","partial",
"feat:json-schema-payload-surface-001","JSON Schema payload surface","partial",
"feat:kernel-bootstrap-plan-parity-001","Kernel bootstrap and plan idempotence parity","partial",
"feat:kernel-cache-invalidation-contract-001","Kernel cache invalidation contract","partial",
"feat:kernelplan-dispatch-ownership-001","KernelPlan and atoms own transport lookup and matching","partial",
"feat:kernel-prime-opview-cache-001","Kernel priming and OpView cache lifecycle","partial",
"feat:kernel-priming-runtime-parity-001","Kernel priming runtime parity","partial",
"feat:kernelz-bounded-payload-001","Kernelz bounded payload","partial",
"feat:kernelz-mount-surface-001","Kernelz mount surface","partial",
"feat:mapping-dispatch-convergence-001","Mapping dispatch convergence","partial",
"feat:methodz-mount-surface-001","Methodz mount surface","partial",
"feat:methodz-payload-surface-001","Methodz payload surface","partial",
"feat:middleware-extension-surface-001","Middleware extension surface","partial",
"feat:middlewarespec-protocol-001","MiddlewareSpec protocol","partial",
"feat:middleware-surface-auth-separation-001","Middleware and auth-surface separation","partial",
"feat:middleware-surface-builtin-catalog-001","Middleware built-in catalog boundary","partial",
"feat:middleware-surface-protocol-composition-001","Middleware protocol and composition","partial",
"feat:middleware-surface-public-projection-001","Middleware public projection","partial",
"feat:monotone-spec-merge-precedence-001","Monotone spec-merge precedence","partial",
"feat:mounted-prefix-routing-parity-001","Mounted prefix routing parity","partial",
"feat:mount-lens-helper-surface-001","mount_lens helper surface","partial",
"feat:mount-static-helper-surface-001","mount_static helper surface","partial",
"feat:mount-swagger-helper-surface-001","mount_swagger helper surface","partial",
"feat:multi-engine-interop-runtime-surface-001","Multi-engine interop runtime surface","partial",
"feat:multipart-form-preservation-001","Multipart form preservation","partial",
"feat:multi-table-routing-parity-001","Multi-table routing parity","partial",
"feat:mutualtls-security-dependency-001","MutualTLS security dependency","partial",
"feat:oas-001","Obsolete alias for OpenAPI 3.1.0 document emission","partial",
"feat:oas-002","Obsolete alias for OpenAPI JSON Schema Draft 2020-12 dialect declaration","partial",
"feat:oas-003","Obsolete alias for OpenAPI components.schemas emission","partial",
"feat:oas-004","Obsolete alias for OpenAPI request body, response, and parameter emission","partial",
"feat:oas-005","Operation security emission from `secdeps` is verified","partial",
"feat:oas-006","Obsolete alias for Mounted OpenAPI JSON and Swagger docs surface","partial",
"feat:oauth2-security-dependency-001","OAuth2 security dependency","partial",
"feat:op-001","Obsolete alias for Static files operator surface","partial",
"feat:op-002","Obsolete alias for Cookie request and response round-trip surface","partial",
"feat:op-003","Obsolete alias for Streaming response operator surface","partial",
"feat:op-004","Obsolete alias for WebSocket route operator surface","partial",
"feat:op-005","Obsolete alias for WHATWG SSE event-stream operator surface","partial",
"feat:op-006","Obsolete alias for Form and multipart request operator surface","partial",
"feat:op-007","Obsolete alias for Uploaded file request operator surface","partial",
"feat:op-008","Obsolete alias for Bounded built-in middleware catalog","partial",
"feat:op-009","Obsolete alias for Dependency and hook based auth operator surface","partial",
"feat:op-010","Obsolete alias for AsyncAPI UI out of bounds while AsyncAPI spec remains in scope","partial",
"feat:op-011","Obsolete alias for JSON Schema UI out of bounds while schema bundle remains in scope","partial",
"feat:op-012","Obsolete alias for OIDC discovery and docs surface out of bounds","partial",
"feat:opbase-contract-001","OpBase contract","partial",
"feat:op-ctx-app-owner-scope-materialization-001","op_ctx app owner-scope materialization","partial",
"feat:op-ctx-router-owner-scope-materialization-001","op_ctx router owner-scope materialization","partial",
"feat:op-ctx-table-owner-scope-materialization-001","op_ctx table owner-scope materialization","partial",
"feat:openapi-31-document-emission-001","OpenAPI 3.1.0 document emission","partial",
"feat:openapi-components-schemas-emission-001","OpenAPI components.schemas emission","partial",
"feat:openapi-json-schema-dialect-2020-12-001","OpenAPI JSON Schema Draft 2020-12 dialect declaration","partial",
"feat:openapi-mounted-json-and-docs-surface-001","Mounted OpenAPI JSON and Swagger docs surface","partial",
"feat:openapi-mount-surface-001","OpenAPI mount surface","partial",
"feat:openapi-payload-surface-001","OpenAPI payload surface","partial",
"feat:openapi-request-response-parameter-emission-001","OpenAPI request body, response, and parameter emission","partial",
"feat:openapi-uix-surface-001","OpenAPI UIX surface","partial",
"feat:openidconnect-security-dependency-001","OpenIdConnect security dependency","partial",
"feat:openrpc-126-json-surface-001","OpenRPC 1.2.6 JSON document surface","partial",
"feat:openrpc-lens-ui-surface-001","Lens OpenRPC UI surface","partial",
"feat:openrpc-mount-surface-001","OpenRPC mount surface","partial",
"feat:openrpc-payload-surface-001","OpenRPC payload surface","partial",
"feat:openrpc-uix-surface-001","OpenRPC UIX surface","partial",
"feat:operation-diagnostics-projection-001","Operation diagnostics projection","partial",
"feat:operator-asyncapi-ui-descoped-001","AsyncAPI UI out of bounds while AsyncAPI spec remains in scope","partial",
"feat:operator-auth-dependency-hook-surface-001","Dependency and hook based auth operator surface","partial",
"feat:operator-bounded-middleware-catalog-001","Bounded built-in middleware catalog","partial",
"feat:operator-cookie-roundtrip-surface-001","Cookie request and response round-trip surface","partial",
"feat:operator-json-schema-ui-descoped-001","JSON Schema UI out of bounds while schema bundle remains in scope","partial",
"feat:operator-oidc-discovery-docs-descoped-001","OIDC discovery and docs surface out of bounds","partial",
"feat:operator-static-files-surface-001","Static files operator surface","partial",
"feat:operator-surface-framing-semantics-001","Operator-surface framing and multipart semantics","partial",
"feat:operator-surface-smoke-runtime-parity-001","Operator-surface smoke/runtime parity","partial",
"feat:op-extension-surface-001","Op extension surface","partial",
"feat:op-surface-custom-op-001","Custom op extension contract","partial",
"feat:op-surface-default-oltp-001","Default canonical OLTP op family","partial",
"feat:op-surface-public-projection-001","Op public projection","partial",
"feat:opview-on-demand-cache-reuse-001","OpView on-demand cache reuse","partial",
"feat:orm-alias-export-compatibility-001","tigrbl.orm alias export compatibility","partial",
"feat:orm-mixins-alias-compatibility-001","tigrbl.orm.mixins alias compatibility","partial",
"feat:plaintextresponse-concrete-response-class-001","PlainTextResponse concrete response class","partial",
"feat:pre-tx-dependency-execution-001","Pre-TX dependency execution","partial",
"feat:realtime-transfer-family-membership-freeze-001","Realtime and transfer family membership freeze","partial",
"feat:realtime-transfer-runtime-docs-export-parity-001","Realtime and transfer runtime/docs/export parity","partial",
"feat:rebind-helper-surface-001","rebind helper surface","partial",
"feat:redirectresponse-concrete-response-class-001","RedirectResponse concrete response class","partial",
"feat:reflecteddatatype-contract-001","ReflectedDatatype contract","partial",
"feat:reflectedtypemapper-contract-001","ReflectedTypeMapper contract","partial",
"feat:requestbase-contract-001","RequestBase contract","partial",
"feat:requestspec-contract-001","RequestSpec contract","partial",
"feat:response-concrete-response-class-001","Response concrete response class","partial",
"feat:rest-create-success-status-001","REST create success status projection","partial",
"feat:routerbase-contract-001","RouterBase contract","partial",
"feat:routerbase-public-projection-001","RouterBase public projection","partial",
"feat:rpc-001","Obsolete alias for JSON-RPC 2.0 runtime surface","partial",
"feat:rpc-002","Obsolete alias for OpenRPC 1.2.6 JSON document surface","partial",
"feat:rpc-003","Obsolete alias for Lens OpenRPC UI surface","partial",
"feat:schemabase-contract-001","SchemaBase contract","partial",
"feat:schemaref-contract-001","SchemaRef contract","partial",
"feat:schemaspec-contract-001","SchemaSpec contract","partial",
"feat:security-concrete-dependency-helper-001","Security concrete dependency helper","partial",
"feat:sessionabc-contract-001","SessionABC contract","partial",
"feat:sessionspec-contract-001","SessionSpec contract","partial",
"feat:sqlite-attach-runtime-surface-001","register_sqlite_attach runtime surface","partial",
"feat:sse-bindingspec-contract-001","SseBindingSpec contract","partial",
"feat:sse-event-framing-001","SSE event framing","partial",
"feat:static-files-surface-001","Static files surface","partial",
"feat:storagetransformbase-contract-001","StorageTransformBase contract","partial",
"feat:storagetransformspec-contract-001","StorageTransformSpec contract","partial",
"feat:storagetyperef-contract-001","StorageTypeRef contract","partial",
"feat:stream-chunk-order-preservation-001","Stream chunk order preservation","partial",
"feat:streamingresponse-concrete-stream-class-001","StreamingResponse concrete stream class","partial",
"feat:surface-binding-family-emission-001","Declared-surface binding family emission","partial",
"feat:surface-binding-proto-emission-001","Declared-surface binding proto emission","partial",
"feat:surface-docs-cross-projection-parity-001","Declared-surface cross-projection parity","partial",
"feat:surface-metadata-omission-contract-001","Declared-surface metadata omission contract","partial",
"feat:surface-optional-metadata-emission-001","Declared-surface optional metadata emission","partial",
"feat:swagger-openapi-uix-001","Swagger OpenAPI UIX","partial",
"feat:tablebase-contract-001","TableBase contract","partial",
"feat:tablebase-public-projection-001","TableBase public projection","partial",
"feat:tableregistrybase-contract-001","TableRegistryBase contract","partial",
"feat:tableregistrybase-public-projection-001","TableRegistryBase public projection","partial",
"feat:tableregistryspec-contract-001","TableRegistrySpec contract","partial",
"feat:templatespec-contract-001","TemplateSpec contract","partial",
"feat:tigrblapp-concrete-facade-class-001","TigrblApp concrete facade class","partial",
"feat:tigrbl-lens-openrpc-uix-001","tigrbl-lens OpenRPC UIX","partial",
"feat:tigrblrouter-concrete-facade-class-001","TigrblRouter concrete facade class","partial",
"feat:tigrblsessionbase-contract-001","TigrblSessionBase contract","partial",
"feat:tigrbl-test-suite-coverage-intake-001","Tigrbl test suite coverage intake","partial",
"feat:transport-bypass-removal-001","Remove non-conforming transport bypasses","partial",
"feat:transport-dispatch-governance-001","Transport-dispatch governance track setup","partial",
"feat:typeadapter-protocol-001","TypeAdapter protocol","partial",
"feat:typeregistry-contract-001","TypeRegistry contract","partial",
"feat:uploaded-file-runtime-contract-001","Uploaded file runtime contract","partial",
"feat:uvicorn-protocol-mode-runtime-parity-001","Uvicorn protocol-mode runtime parity","partial",
"feat:uvicorn-rest-rpc-semantic-parity-001","Uvicorn REST and JSON-RPC semantic parity","partial",
"feat:validation-failure-projection-parity-001","Validation failure projection parity","partial",
"feat:websocket-concrete-runtime-class-001","WebSocket concrete runtime class","partial",
"feat:webtransport-bindingspec-contract-001","WebTransportBindingSpec contract","partial",
"feat:well-known-concrete-constants-surface-001","Well-known concrete constants surface","partial",
"feat:well-known-decorator-surface-001","Well-known decorator surface","partial",
"feat:well-known-imperative-surface-001","Well-known imperative surface","partial",
"feat:wrap-sessionmaker-helper-surface-001","wrap_sessionmaker helper surface","partial",
"feat:ws-bindingspec-contract-001","WsBindingSpec contract","partial",
