feature_id,category,protocol,family,exchange,title,purpose,owner_surface,minimum_first_slice
feat:contract-op-family-intent-001,ops,all,request;session;message;stream;datagram,unary;server_stream;duplex,Contract op family intent,Declare which contract families an operation binding intends to serve.,tigrbl_core,true
feat:contract-op-stream-intent-001,ops,http.stream;https.stream;http.sse;https.sse;webtransport,stream,server_stream;duplex,Contract op stream intent,Declare stream intent for operations reachable through stream-capable bindings.,tigrbl_core,false
feat:contract-op-message-intent-001,ops,http.sse;https.sse;ws;wss;webtransport,message,server_stream;duplex,Contract op message intent,Declare message intent for operations reachable through message-capable bindings.,tigrbl_core,false
feat:contract-op-datagram-intent-001,ops,webtransport,datagram,duplex,Contract op datagram intent,Declare datagram intent for operations reachable through webtransport datagram bindings.,tigrbl_core,false
feat:contract-op-transport-neutral-core-001,ops,all,all,all,Contract op transport neutral core,Preserve transport-neutral semantic operation execution while bindings carry transport intent.,tigrbl_core,false
feat:contract-binding-rest-projection-001,bindings,http.rest;https.rest,request,unary,Contract REST binding projection,Map http.rest and https.rest protos to contract Binding rest.,tigrbl_core,true
feat:contract-binding-jsonrpc-projection-001,bindings,http.jsonrpc;https.jsonrpc,request,unary,Contract JSON-RPC binding projection,Map http.jsonrpc and https.jsonrpc protos to contract Binding jsonrpc.,tigrbl_core,true
feat:contract-binding-http-stream-projection-001,bindings,http.stream;https.stream,request;stream,server_stream,Contract HTTP stream binding projection,Map http.stream and https.stream protos to contract Binding http.stream.,tigrbl_core,false
feat:contract-binding-sse-projection-001,bindings,http.sse;https.sse,request;session;message;stream,server_stream,Contract SSE binding projection,Map http.sse and https.sse protos to contract Binding sse.,tigrbl_core,false
feat:contract-binding-websocket-projection-001,bindings,ws;wss,session;message,duplex,Contract WebSocket binding projection,Map ws and wss protos to contract Binding websocket.,tigrbl_core,false
feat:contract-binding-webtransport-projection-001,bindings,webtransport,session;message;stream;datagram,duplex,Contract WebTransport binding projection,Map webtransport proto to contract Binding webtransport.,tigrbl_core,false
feat:contract-binding-exchange-normalization-001,bindings,all,all,unary;server_stream;duplex,Contract binding exchange normalization,Normalize tigrbl exchange values to contract exchange values at the conformance boundary.,tigrbl_core,true
feat:contract-family-request-001,families,http.rest;https.rest;http.jsonrpc;https.jsonrpc;http.stream;https.stream;http.sse;https.sse,request,unary;server_stream,Contract request family,Govern the request family as a first-class contract family.,tigrbl_core,true
feat:contract-family-session-001,families,http.sse;https.sse;ws;wss;webtransport,session,server_stream;duplex,Contract session family,Govern the session family as a first-class contract family.,tigrbl_core,false
feat:contract-family-message-001,families,http.sse;https.sse;ws;wss;webtransport,message,server_stream;duplex,Contract message family,Govern the message family as a first-class contract family.,tigrbl_core,false
feat:contract-family-stream-001,families,http.rest;https.rest;http.jsonrpc;https.jsonrpc;http.stream;https.stream;http.sse;https.sse;webtransport,stream,unary;server_stream;duplex,Contract stream family,Govern the stream family as a first-class contract family.,tigrbl_core,false
feat:contract-family-datagram-001,families,webtransport,datagram,duplex,Contract datagram family,Govern the datagram family as a first-class contract family.,tigrbl_core,false
feat:contract-family-capabilities-scope-ext-001,families,all,request;session;message;stream;datagram,unary;server_stream;duplex,Contract family capabilities scope extension,Project request session message stream_in stream_out and datagram capabilities into ScopeExt.,tigrbl_core,true
feat:contract-subevent-request-family-001,subevents,http.rest;https.rest;http.jsonrpc;https.jsonrpc;http.stream;https.stream;http.sse;https.sse,request,unary;server_stream,Contract request family subevents,Govern request family subevents including request and response lifecycle rows.,tigrbl_atoms,false
feat:contract-subevent-session-family-001,subevents,http.sse;https.sse;ws;wss;webtransport,session,server_stream;duplex,Contract session family subevents,Govern session family subevents including open accept ready heartbeat sync close disconnect and emit completion.,tigrbl_atoms,false
feat:contract-subevent-message-family-001,subevents,http.jsonrpc;https.jsonrpc;http.sse;https.sse;ws;wss;webtransport,message,unary;server_stream;duplex,Contract message family subevents,Govern message family subevents including input decode handle output ack nack replay snapshot and emit completion.,tigrbl_atoms,false
feat:contract-subevent-stream-family-001,subevents,http.rest;https.rest;http.jsonrpc;https.jsonrpc;http.stream;https.stream;http.sse;https.sse;webtransport,stream,unary;server_stream;duplex,Contract stream family subevents,Govern stream family subevents including open chunk flush finalize abort close and emit completion.,tigrbl_atoms,false
feat:contract-subevent-datagram-family-001,subevents,webtransport,datagram,duplex,Contract datagram family subevents,Govern datagram family subevents including in handle out ack close and emit completion.,tigrbl_atoms,false
feat:contract-subevent-binding-legality-matrix-001,subevents,all,request;session;message;stream;datagram,unary;server_stream;duplex,Contract subevent binding legality matrix,Enforce the contract Binding to Subevent legality matrix.,tigrbl_atoms,true
feat:contract-subevent-family-legality-matrix-001,subevents,all,request;session;message;stream;datagram,unary;server_stream;duplex,Contract subevent family legality matrix,Enforce the contract Family to Subevent legality matrix.,tigrbl_atoms,true
feat:contract-scope-http-shape-001,scope-event-shapes,http.rest;https.rest;http.jsonrpc;https.jsonrpc;http.stream;https.stream;http.sse;https.sse,request;session;message;stream,unary;server_stream,Contract HTTP scope shape,Project HTTP ASGI scopes into ContractScope with HTTP transport metadata.,tigrbl_atoms,true
feat:contract-scope-websocket-shape-001,scope-event-shapes,ws;wss,session;message,duplex,Contract WebSocket scope shape,Project WebSocket ASGI scopes into ContractScope with websocket extension metadata.,tigrbl_atoms,false
feat:contract-scope-webtransport-shape-001,scope-event-shapes,webtransport,session;message;stream;datagram,duplex,Contract WebTransport scope shape,Project WebTransport scopes into ContractScope with webtransport extension metadata.,tigrbl_atoms,false
feat:contract-scope-lifespan-shape-001,scope-event-shapes,lifespan,,,Contract lifespan scope shape,Project lifespan scopes as framework lifecycle inputs rather than operation dispatch inputs.,tigrbl_runtime,true
feat:contract-scope-ext-transport-metadata-001,scope-event-shapes,all,all,all,Contract scope transport metadata,Project transport metadata including binding network secure alpn tls and framing.,tigrbl_atoms,true
feat:contract-scope-ext-family-capabilities-001,scope-event-shapes,all,request;session;message;stream;datagram,unary;server_stream;duplex,Contract scope family capabilities,Project family capability flags into ScopeExt.,tigrbl_atoms,true
feat:contract-event-http-shape-001,scope-event-shapes,http.rest;https.rest;http.jsonrpc;https.jsonrpc;http.stream;https.stream;http.sse;https.sse,request;session;message;stream,unary;server_stream,Contract HTTP event shape,Project HTTP request disconnect response start and response body events into ContractEvent.,tigrbl_atoms,true
feat:contract-event-websocket-shape-001,scope-event-shapes,ws;wss,session;message,duplex,Contract WebSocket event shape,Project websocket connect receive disconnect accept send and close events into ContractEvent.,tigrbl_atoms,false
feat:contract-event-webtransport-shape-001,scope-event-shapes,webtransport,session;message;stream;datagram,duplex,Contract WebTransport event shape,Project webtransport session stream datagram disconnect and close events into ContractEvent.,tigrbl_atoms,false
feat:contract-event-emit-complete-shape-001,scope-event-shapes,all,request;session;message;stream;datagram,unary;server_stream;duplex,Contract emit complete event shape,Project transport.emit.complete into ContractEvent.,tigrbl_atoms,true
feat:contract-kernelplan-public-lookup-shape-001,dispatch-shape,all,all,all,Contract KernelPlan public lookup shape,Preserve the public lookup shape KernelPlan.proto_indices[scope][path][method] = meta_index as the canonical dispatch projection.,tigrbl_kernel,true
feat:contract-dispatch-routing-tuple-shape-001,dispatch-shape,all,all,all,Contract dispatch routing tuple shape,Govern scope path and method as the canonical routing tuple used for contract-visible dispatch.,tigrbl_kernel,true
feat:contract-dispatch-binding-projection-shape-001,dispatch-shape,all,all,all,Contract dispatch binding projection shape,Project concrete tigrbl proto values to contract Binding values without replacing the public routing tuple.,tigrbl_kernel,true
feat:contract-dispatch-selector-compatibility-shape-001,dispatch-shape,all,all,all,Contract dispatch selector compatibility shape,Allow internal selector forms such as OpKey proto selector only when they project losslessly to the public routing tuple.,tigrbl_kernel,false
feat:contract-dispatch-minimal-exact-lookup-001,dispatch,all,all,all,Contract minimal exact dispatch lookup,Require exact scope path method lookup for non-templated routes before any slower matching path is considered.,tigrbl_kernel,true
feat:contract-dispatch-minimal-template-matching-001,dispatch,http.rest;https.rest;http.stream;https.stream;http.sse;https.sse;ws;wss;webtransport,all,all,Contract minimal template dispatch matching,Require templated matching only when exact lookup misses and only within the selected scope and method bucket.,tigrbl_kernel,true
feat:contract-dispatch-jsonrpc-method-matching-001,dispatch,http.jsonrpc;https.jsonrpc,request,unary,Contract JSON-RPC method matching,Resolve JSON-RPC dispatch by concrete mounted path plus RPC method in the canonical tuple projection.,tigrbl_kernel,true
feat:contract-dispatch-websocket-connect-matching-001,dispatch,ws;wss,session;message,duplex,Contract WebSocket connect matching,Resolve WebSocket connection dispatch through the canonical path and $connect method projection.,tigrbl_kernel,false
feat:contract-dispatch-webtransport-connect-matching-001,dispatch,webtransport,session;message;stream;datagram,duplex,Contract WebTransport connect matching,Resolve WebTransport session dispatch through the canonical path and $connect method projection.,tigrbl_kernel,false
feat:contract-dispatch-no-transport-bypass-001,dispatch,all,all,all,Contract no transport dispatch bypass,Forbid app router executor or transport-local semantic dispatch that bypasses KernelPlan lookup and matching.,tigrbl_kernel,true
feat:contract-dispatch-fast-path-optimization-001,optimization,all,all,all,Contract dispatch fast path optimization,Require compiled dispatch data to provide an O(1) exact lookup path for common scope path method matches.,tigrbl_kernel,true
feat:contract-dispatch-template-index-optimization-001,optimization,http.rest;https.rest;http.stream;https.stream;http.sse;https.sse;ws;wss;webtransport,all,all,Contract dispatch template index optimization,Require templated route matching to be indexed by scope and method before pattern evaluation.,tigrbl_kernel,false
feat:contract-dispatch-jsonrpc-index-optimization-001,optimization,http.jsonrpc;https.jsonrpc,request,unary,Contract JSON-RPC dispatch index optimization,Require JSON-RPC method dispatch to use a mounted-path and method index rather than scanning operation metadata.,tigrbl_kernel,true
feat:contract-dispatch-packed-plan-optimization-001,optimization,all,all,all,Contract packed plan dispatch optimization,Require packed runtime plans to preserve the same canonical dispatch semantics as semantic KernelPlan lookup.,tigrbl_runtime,false
feat:contract-dispatch-diagnostics-shape-001,dispatch-shape,all,all,all,Contract dispatch diagnostics shape,Expose diagnostics that report scope path method binding family subevent and meta index for matched dispatch.,tigrbl_kernel,false
